trial,hyperparameters,cv_mean,cv_std,fold_scores
34,"{'learning_rate': 0.00022180541372466235, 'dropout1': 0.33511523269595045, 'dropout2': 0.49904519057754704, 'units1': 128, 'units2': 256}",0.9071428537368774,0.018626280047413492,"[0.9142857193946838, 0.8785714507102966, 0.8928571343421936, 0.9285714030265808, 0.9214285612106323]"
35,"{'learning_rate': 0.0038285107940898818, 'dropout1': 0.6040011748594047, 'dropout2': 0.1326031023154005, 'units1': 320, 'units2': 128}",0.8857142806053162,0.015649225878225596,"[0.8928571343421936, 0.8714285492897034, 0.8928571343421936, 0.9071428775787354, 0.8642857074737549]"
36,"{'learning_rate': 0.00671882043511498, 'dropout1': 0.1660899987886465, 'dropout2': 0.36226940631100923, 'units1': 256, 'units2': 128}",0.9042857050895691,0.013248022418835407,"[0.8999999761581421, 0.8928571343421936, 0.8928571343421936, 0.9285714030265808, 0.9071428775787354]"
37,"{'learning_rate': 0.0035342905749211058, 'dropout1': 0.4838190584899257, 'dropout2': 0.5547657097303511, 'units1': 192, 'units2': 192}",0.8899999976158142,0.021946134056029767,"[0.8999999761581421, 0.8571428656578064, 0.8714285492897034, 0.9071428775787354, 0.9142857193946838]"
38,"{'learning_rate': 0.004510544627543901, 'dropout1': 0.29399700693534764, 'dropout2': 0.4393998886214795, 'units1': 384, 'units2': 192}",0.895714282989502,0.020503857301456596,"[0.8642857074737549, 0.8857142925262451, 0.9142857193946838, 0.9214285612106323, 0.8928571343421936]"
39,"{'learning_rate': 0.00690800284064956, 'dropout1': 0.640734120577094, 'dropout2': 0.1699025563178214, 'units1': 384, 'units2': 256}",0.8314285635948181,0.03630931968393573,"[0.8714285492897034, 0.7714285850524902, 0.8642857074737549, 0.8357142806053162, 0.8142856955528259]"
40,"{'learning_rate': 0.0077971438607601735, 'dropout1': 0.41580015245939794, 'dropout2': 0.12161665974084722, 'units1': 512, 'units2': 256}",0.8799999952316284,0.019378072207534288,"[0.8928571343421936, 0.8500000238418579, 0.8928571343421936, 0.8999999761581421, 0.8642857074737549]"
41,"{'learning_rate': 0.002353419836055691, 'dropout1': 0.5492425405986462, 'dropout2': 0.22935114368504167, 'units1': 512, 'units2': 128}",0.8957142949104309,0.02194613095207821,"[0.9142857193946838, 0.8571428656578064, 0.9071428775787354, 0.9142857193946838, 0.8857142925262451]"
42,"{'learning_rate': 0.0007266820020072626, 'dropout1': 0.5345743494363848, 'dropout2': 0.6214233313406403, 'units1': 320, 'units2': 128}",0.9128571271896362,0.014568622806510508,"[0.9285714030265808, 0.8928571343421936, 0.9142857193946838, 0.9285714030265808, 0.8999999761581421]"
43,"{'learning_rate': 0.006281627181771512, 'dropout1': 0.34449418876453897, 'dropout2': 0.5711310238162034, 'units1': 128, 'units2': 64}",0.8771428465843201,0.02276767959312073,"[0.8999999761581421, 0.8428571224212646, 0.8928571343421936, 0.8571428656578064, 0.8928571343421936]"
44,"{'learning_rate': 0.007299772351643574, 'dropout1': 0.30845403012465616, 'dropout2': 0.43245319498172285, 'units1': 256, 'units2': 256}",0.8671428561210632,0.030169567980419455,"[0.8642857074737549, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.8214285969734192]"
45,"{'learning_rate': 0.006504446146892714, 'dropout1': 0.5160011343185807, 'dropout2': 0.5659435126254938, 'units1': 512, 'units2': 192}",0.8614285826683045,0.020503856470887885,"[0.8642857074737549, 0.8285714387893677, 0.8500000238418579, 0.8785714507102966, 0.8857142925262451]"
46,"{'learning_rate': 0.007800204878533122, 'dropout1': 0.4850372883528933, 'dropout2': 0.1374046128040566, 'units1': 128, 'units2': 128}",0.8571428656578064,0.03319699300170513,"[0.8500000238418579, 0.8357142806053162, 0.8500000238418579, 0.9214285612106323, 0.8285714387893677]"
47,"{'learning_rate': 0.0011434214185962587, 'dropout1': 0.3463934233556438, 'dropout2': 0.15929604895662705, 'units1': 384, 'units2': 192}",0.908571434020996,0.016536916599044105,"[0.9071428775787354, 0.8857142925262451, 0.9142857193946838, 0.9357143044471741, 0.8999999761581421]"
48,"{'learning_rate': 0.005389906462897422, 'dropout1': 0.6917150979346781, 'dropout2': 0.5408658851014291, 'units1': 384, 'units2': 192}",0.8314285755157471,0.021476127284179167,"[0.8285714387893677, 0.8357142806053162, 0.8571428656578064, 0.8428571224212646, 0.7928571701049805]"
49,"{'learning_rate': 0.009738021484096904, 'dropout1': 0.6265825810117218, 'dropout2': 0.6589980388098932, 'units1': 384, 'units2': 128}",0.7457142829895019,0.05469768803400429,"[0.800000011920929, 0.6785714030265808, 0.7571428418159485, 0.8071428537368774, 0.6857143044471741]"
50,"{'learning_rate': 0.0004810841834121823, 'dropout1': 0.18734743474230478, 'dropout2': 0.6608202150284539, 'units1': 192, 'units2': 128}",0.9028571367263794,0.020995626737514074,"[0.9142857193946838, 0.8714285492897034, 0.8857142925262451, 0.9285714030265808, 0.9142857193946838]"
